panel,omega_r,omega_i,lambda_re,lambda_im
0,6.003802860000001e-06,4.8124324e-07,0.00164,-0.02046
0,-1.2142588580000002e-05,7.629466e-08,0.00026,0.04138
0,1.2142588580000002e-05,7.629466e-08,0.00026,-0.04138
0,-1.388269371e-05,5.868820000000001e-09,2e-05,0.04731
0,1.388269371e-05,5.868820000000001e-09,2e-05,-0.04731
0,-1.3912037810000002e-05,2.9344100000000004e-09,1e-05,0.04741
0,1.3912037810000002e-05,2.9344100000000004e-09,1e-05,-0.04741
0,-1.3923775450000001e-05,-0.0,-0.0,0.04745
0,1.3923775450000001e-05,-0.0,-0.0,-0.04745
0,-6.090367955000001e-05,-3.2278510000000003e-08,-0.00011,0.20755
0,6.090367955000001e-05,-3.2278510000000003e-08,-0.00011,-0.20755
0,-5.625850852e-05,-2.1127752000000003e-07,-0.00072,0.19172
0,5.625850852e-05,-2.1127752000000003e-07,-0.00072,-0.19172
0,-0.0,-4.994365820000001e-06,-0.01702,0.0
0,-5.123186419e-05,-5.98326199e-06,-0.02039,0.17459
0,5.123186419e-05,-5.98326199e-06,-0.02039,-0.17459
0,-3.21317895e-06,-6.188670690000001e-06,-0.02109,0.01095
0,3.21317895e-06,-6.188670690000001e-06,-0.02109,-0.01095
0,-4.8907811470000005e-05,-6.25909653e-06,-0.02133,0.16667
0,4.8907811470000005e-05,-6.25909653e-06,-0.02133,-0.16667
0,-0.0,-6.48211169e-06,-0.02209,0.0
0,-0.0,-7.993332840000002e-06,-0.02724,0.0
0,-4.7983472320000004e-05,-8.236888870000001e-06,-0.02807,0.16352
0,4.7983472320000004e-05,-8.236888870000001e-06,-0.02807,-0.16352
0,-7.688741082e-05,-1.5050588890000001e-05,-0.05129,0.26202
0,7.688741082e-05,-1.5050588890000001e-05,-0.05129,-0.26202
0,-0.0,-3.2519131620000006e-05,-0.11082,0.0
0,-3.222862503e-05,-4.306540116e-05,-0.14676,0.10983
0,3.222862503e-05,-4.306540116e-05,-0.14676,-0.10983
0,-0.0,-4.6569086700000004e-05,-0.1587,0.0
0,-3.189410229e-05,-4.669820074000001e-05,-0.15914,0.10869
0,3.189410229e-05,-4.669820074000001e-05,-0.15914,-0.10869
0,-0.0,-5.3796538530000004e-05,-0.18333,0.0
0,-3.3287947040000005e-05,-6.376179489000002e-05,-0.21729,0.11344
0,3.3287947040000005e-05,-6.376179489000002e-05,-0.21729,-0.11344
0,-0.0,-9.215808046000001e-05,-0.31406,0.0
0,-0.0,-9.297384644e-05,-0.31684,0.0
0,-0.0,-9.52802927e-05,-0.3247,0.0
0,-0.0,-9.787137673e-05,-0.33353,0.0
0,-0.0,-0.00036889054992,-1.25712,0.0
0,-7.490081525e-05,-0.00038261771990000004,-1.3039,0.25525
